type,category,date,index
input,energy_and_lubricants,2025-09-01,142.3944070393683
input,electricity,2025-09-01,152.37080447522644
input,fuels_for_heating,2025-09-01,160.92062000939407
input,motor_fuels,2025-09-01,135.93410984400126
input,fertilisers_and_soil_improvers,2025-09-01,174.9705934864623
input,straight_fertilisers,2025-09-01,168.5600970695708
input,straight_fertilisers_nitrogenous,2025-09-01,169.0963495337811
input,straight_fertilisers_phosphatic,2025-09-01,204.66897731189158
input,straight_fertilisers_potassic,2025-09-01,143.81524812937403
input,compound_fertilisers,2025-09-01,205.6581461853863
input,other_fertilisers_and_soil_improvers,2025-09-01,116.95396028802094
input,plant_protection_products,2025-09-01,106.34987053575786
input,fungicides,2025-09-01,87.46520750172601
input,insecticides,2025-09-01,114.97112376139201
input,herbicides,2025-09-01,113.00828825153005
input,other_plant_protection_products,2025-09-01,149.34688458645311
input,veterinary_services,2025-09-01,119.61737686654111
input,animal_feedingstuffs,2025-09-01,117.18759513190065
input,straight_feedingstuffs,2025-09-01,101.08549159382035
input,cereal_and_milling_by_products,2025-09-01,102.85295662041618
input,oilcakes,2025-09-01,87.764045878782
input,soya_bean_meal,2025-09-01,87.39304428649015
input,sunflower_seed_meal,2025-09-01,97.13869772803919
input,rape_seed_meal,2025-09-01,84.19076162626513
input,products_of_animal_origin_including_white_fish_meal,2025-09-01,115.66935463715919
input,other_straights,2025-09-01,106.41334555857364
input,field_peas,2025-09-01,108.12216377577602
input,field_beans,2025-09-01,101.23993261144267
input,soya_beans,2025-09-01,89.34994939473448
input,compound_feedingstuffs,2025-09-01,123.24506426493475
input,compound_feedingstuffs_for_cattle_and_calves,2025-09-01,125.96461362484831
input,compound_feedingstuffs_for_pigs,2025-09-01,116.90196192215805
input,compound_feedingstuffs_for_poultry,2025-09-01,123.27003787703391
input,compound_feedingstuffs_for_sheep,2025-09-01,129.0671608063614
input,maintenance_of_materials,2025-09-01,135.40788237461328
input,maintenance_of_buildings,2025-09-01,139.35886019590382
input,other_goods_and_services,2025-09-01,122.76321153141798
input,goods_and_services_contributing_to_investment,2025-09-01,132.0028671518091
input,materials,2025-09-01,127.67171841365372
input,machinery_and_other_equipment,2025-09-01,134.7616456492588
input,plant_and_machinery_for_cultivation,2025-09-01,130.07518796992477
input,farm_machinery_and_installations,2025-09-01,152.04681959459924
input,transport_equipment,2025-09-01,122.02132448794994
input,tractors,2025-09-01,122.3481907128436
input,other_vehicles,2025-09-01,120.68319465749595
input,buildings,2025-09-01,141.300345800484
input,all_agricultural_inputs,2025-09-01,127.7386772319558
output,crop_products,2025-08-01,125.61255922278418
output,cereals,2025-08-01,106.24501989626982
output,wheat,2025-08-01,102.62826665180486
output,wheat_breadmaking,2025-08-01,106.23708800447757
output,wheat_other_milling,2025-08-01,103.00971007332187
output,wheat_feeding,2025-08-01,101.81026137840547
output,barley,2025-08-01,111.52631823555126
output,barley_feeding,2025-08-01,110.69714914730864
output,barley_malting,2025-08-01,113.24376197238603
output,oats,2025-08-01,104.8085994821569
output,oats_milling,2025-08-01,104.62608232826906
output,oats_feeding,2025-08-01,112.49267066376964
