date,display_name,price
2017-05-05,Beetroot,0.37030844049614486
2017-05-12,Beetroot,0.37591440253261926
2017-05-19,Beetroot,0.35264876966248615
2017-05-26,Beetroot,0.3580997596615628
2017-06-02,Beetroot,0.35311618547158574
2017-06-09,Beetroot,0.357566510639914
2017-06-16,Beetroot,0.35345851817684176
2017-06-23,Beetroot,0.3976194371548685
2017-06-30,Beetroot,0.4402683866846811
2017-07-07,Beetroot,0.43347267494641434
2017-07-14,Beetroot,0.42628478034038314
2017-07-21,Beetroot,0.4277959383332959
2017-07-28,Beetroot,0.39887922151021066
2017-08-04,Beetroot,0.4041516523307167
2017-08-11,Beetroot,0.4171577593326288
2017-08-18,Beetroot,0.4096688401053178
2017-08-25,Beetroot,0.3956455939946665
2017-09-01,Beetroot,0.3979561036636237
2017-09-08,Beetroot,0.39387266471872157
2017-09-15,Beetroot,0.3989579580324195
2017-09-22,Beetroot,0.41890126297024505
2017-09-29,Beetroot,0.4234056481782783
2017-10-13,Beetroot,0.4234056481782783
2017-10-20,Beetroot,0.4322503841730764
2017-10-27,Beetroot,0.42081390432223587
2017-11-03,Beetroot,0.47
2017-11-10,Beetroot,0.5
2017-11-17,Beetroot,0.5
2017-11-24,Beetroot,0.5
2017-12-01,Beetroot,0.49
2017-12-08,Beetroot,0.48
2017-12-15,Beetroot,0.47
2017-12-22,Beetroot,0.46
2018-01-12,Beetroot,0.46
2018-01-19,Beetroot,0.47
2018-01-26,Beetroot,0.47
2018-02-02,Beetroot,0.46
2018-02-09,Beetroot,0.45
2018-02-16,Beetroot,0.46
2018-02-23,Beetroot,0.44
2018-03-02,Beetroot,0.48
2018-03-09,Beetroot,0.49
2018-03-16,Beetroot,0.45
2018-03-23,Beetroot,0.46
2018-03-30,Beetroot,0.44
2018-04-06,Beetroot,0.46
2018-04-13,Beetroot,0.48
2018-04-20,Beetroot,0.49
2018-04-27,Beetroot,0.47
2018-05-04,Beetroot,0.48
2018-05-11,Beetroot,0.48
2018-05-18,Beetroot,0.48
2018-05-25,Beetroot,0.49
2018-06-01,Beetroot,0.45
2018-06-08,Beetroot,0.44
2018-06-15,Beetroot,0.47
2018-06-22,Beetroot,0.49
2018-06-29,Beetroot,0.48
2018-07-06,Beetroot,0.5
2018-07-13,Beetroot,0.52
2018-07-20,Beetroot,0.54
2018-07-27,Beetroot,0.53
2018-08-03,Beetroot,0.53
2018-08-10,Beetroot,0.53
2018-08-17,Beetroot,0.55
2018-08-24,Beetroot,0.52
2018-08-31,Beetroot,0.48
2018-09-07,Beetroot,0.49
2018-09-14,Beetroot,0.48
2018-09-21,Beetroot,0.45
2018-09-28,Beetroot,0.47
2018-10-05,Beetroot,0.45
2018-10-12,Beetroot,0.45
2018-10-19,Beetroot,0.45
2018-10-26,Beetroot,0.46
2018-11-02,Beetroot,0.45
2018-11-09,Beetroot,0.47
2018-11-16,Beetroot,0.46
2018-11-23,Beetroot,0.48
2018-11-30,Beetroot,0.48
2018-12-07,Beetroot,0.48
2018-12-14,Beetroot,0.48
2018-12-21,Beetroot,0.48
2019-01-11,Beetroot,0.45
2019-01-18,Beetroot,0.46
2019-01-25,Beetroot,0.46
2019-02-01,Beetroot,0.49
2019-02-08,Beetroot,0.5
2019-02-15,Beetroot,0.49
2019-02-22,Beetroot,0.46
2019-03-01,Beetroot,0.46
2019-03-08,Beetroot,0.48
2019-03-15,Beetroot,0.47
2019-03-22,Beetroot,0.46
2019-03-29,Beetroot,0.48
2019-04-05,Beetroot,0.47
2019-04-12,Beetroot,0.52
2019-04-19,Beetroot,0.52
2019-04-26,Beetroot,0.51
2019-05-03,Beetroot,0.52
2019-05-10,Beetroot,0.51
2019-05-17,Beetroot,0.51
2019-05-24,Beetroot,0.5
2019-05-31,Beetroot,0.5
2019-06-07,Beetroot,0.5
2019-06-14,Beetroot,0.48
2019-06-21,Beetroot,0.49
2019-06-28,Beetroot,0.5
2019-07-05,Beetroot,0.54
2019-07-12,Beetroot,0.53
2019-07-19,Beetroot,0.52
2019-07-26,Beetroot,0.54
2019-08-02,Beetroot,0.52
2019-08-09,Beetroot,0.49
2019-08-16,Beetroot,0.5
2019-08-23,Beetroot,0.49
2019-08-30,Beetroot,0.49
2019-09-06,Beetroot,0.49
2019-09-13,Beetroot,0.49
2019-09-20,Beetroot,0.5
2019-09-27,Beetroot,0.51
2019-10-04,Beetroot,0.51
2019-10-11,Beetroot,0.5
2019-10-18,Beetroot,0.51
2019-10-25,Beetroot,0.51
2019-11-01,Beetroot,0.51
2019-11-08,Beetroot,0.5
2019-11-15,Beetroot,0.48
2019-11-22,Beetroot,0.47
2019-11-29,Beetroot,0.5
2019-12-06,Beetroot,0.49
2019-12-13,Beetroot,0.47
2019-12-20,Beetroot,0.5
2020-01-10,Beetroot,0.45
2020-01-17,Beetroot,0.47
2020-01-24,Beetroot,0.47
2020-01-31,Beetroot,0.46
2020-02-07,Beetroot,0.47
2020-02-14,Beetroot,0.46
2020-02-21,Beetroot,0.47
2020-02-28,Beetroot,0.48
2020-03-06,Beetroot,0.48
2020-03-13,Beetroot,0.47
2020-03-20,Beetroot,0.48
2020-03-27,Beetroot,0.49
2020-04-03,Beetroot,0.48
2020-04-10,Beetroot,0.46
2020-04-17,Beetroot,0.45
2020-04-24,Beetroot,0.45
2020-05-01,Beetroot,0.45
2020-05-08,Beetroot,0.46
2020-05-15,Beetroot,0.46
2020-05-22,Beetroot,0.46
2020-05-29,Beetroot,0.45
2020-06-05,Beetroot,0.5
2020-06-12,Beetroot,0.5
2020-06-19,Beetroot,0.5
2020-06-26,Beetroot,0.48
2020-07-03,Beetroot,0.5
2020-07-10,Beetroot,0.51
2020-07-17,Beetroot,0.5
2020-07-24,Beetroot,0.49
2020-07-31,Beetroot,0.49
2020-08-07,Beetroot,0.5
2020-08-14,Beetroot,0.47
2020-08-21,Beetroot,0.48
2020-08-28,Beetroot,0.48
2020-09-04,Beetroot,0.48
2020-09-11,Beetroot,0.48
2020-09-18,Beetroot,0.47
2020-09-25,Beetroot,0.47
2020-10-02,Beetroot,0.47
2020-10-09,Beetroot,0.47
2020-10-16,Beetroot,0.47
2020-10-23,Beetroot,0.48
2020-10-30,Beetroot,0.47
2020-11-06,Beetroot,0.49
2020-11-13,Beetroot,0.49
2020-11-20,Beetroot,0.45
2020-11-27,Beetroot,0.46
2020-12-04,Beetroot,0.47
2020-12-11,Beetroot,0.46
2020-12-18,Beetroot,0.47
2021-01-08,Beetroot,0.46
2021-01-15,Beetroot,0.43
2021-01-22,Beetroot,0.46
2021-01-29,Beetroot,0.45
2021-02-05,Beetroot,0.45
2021-02-12,Beetroot,0.46
2021-02-19,Beetroot,0.44
2021-02-26,Beetroot,0.45
2021-03-05,Beetroot,0.45
2021-03-12,Beetroot,0.45
2021-03-19,Beetroot,0.45
2021-03-26,Beetroot,0.47
2021-04-02,Beetroot,0.46
2021-04-09,Beetroot,0.46
2021-04-16,Beetroot,0.47
2021-04-23,Beetroot,0.51
2021-04-30,Beetroot,0.51
2021-05-07,Beetroot,0.49
2021-05-14,Beetroot,0.5
2021-05-21,Beetroot,0.5
2021-05-28,Beetroot,0.51
2021-06-04,Beetroot,0.5
2021-06-11,Beetroot,0.51
2021-06-18,Beetroot,0.55
2021-06-25,Beetroot,0.75
2021-07-02,Beetroot,0.78
2021-07-09,Beetroot,0.75
2021-07-16,Beetroot,0.74
2021-07-23,Beetroot,0.72
2021-07-30,Beetroot,0.66
2021-08-06,Beetroot,0.64
2021-08-13,Beetroot,0.6
2021-08-20,Beetroot,0.61
2021-08-27,Beetroot,0.55
2021-09-03,Beetroot,0.59
2021-09-10,Beetroot,0.54
2021-09-17,Beetroot,0.53
2021-09-24,Beetroot,0.53
2021-10-01,Beetroot,0.51
2021-10-08,Beetroot,0.51
2021-10-15,Beetroot,0.5
2021-10-22,Beetroot,0.51
2021-10-29,Beetroot,0.52
2021-11-05,Beetroot,0.49
2021-11-12,Beetroot,0.51
2021-11-19,Beetroot,0.53
2021-11-26,Beetroot,0.52
2021-12-03,Beetroot,0.56
2021-12-10,Beetroot,0.55
2021-12-17,Beetroot,0.54
2022-01-07,Beetroot,0.54
2022-01-14,Beetroot,0.52
2022-01-21,Beetroot,0.52
2022-01-28,Beetroot,0.5
2022-02-04,Beetroot,0.53
2022-02-11,Beetroot,0.5
2022-02-18,Beetroot,0.49
2022-02-25,Beetroot,0.49
2022-03-04,Beetroot,0.5
2022-03-11,Beetroot,0.52
2022-03-18,Beetroot,0.52
2022-03-25,Beetroot,0.51
2022-04-01,Beetroot,0.53
2022-04-08,Beetroot,0.53
2022-04-15,Beetroot,0.55
2022-04-22,Beetroot,0.55
2022-04-29,Beetroot,0.55
2022-05-06,Beetroot,0.54
2022-05-13,Beetroot,0.54
2022-05-20,Beetroot,0.52
2022-05-27,Beetroot,0.63
2022-06-10,Beetroot,0.54
2022-06-17,Beetroot,0.51
2022-06-24,Beetroot,0.53
2022-07-01,Beetroot,0.56
2022-07-08,Beetroot,0.63
2022-07-15,Beetroot,0.61
2022-07-22,Beetroot,0.7
2022-07-29,Beetroot,0.65
2022-08-05,Beetroot,0.66
2022-08-12,Beetroot,0.65
2022-08-19,Beetroot,0.66
2022-08-26,Beetroot,0.66
2022-09-02,Beetroot,0.68
2022-09-09,Beetroot,0.65
2022-09-16,Beetroot,0.7
2022-09-23,Beetroot,0.68
2022-09-30,Beetroot,0.63
2022-10-07,Beetroot,0.59
2022-10-14,Beetroot,0.6
2022-10-21,Beetroot,0.62
2022-10-28,Beetroot,0.62
2022-11-04,Beetroot,0.54
2022-11-11,Beetroot,0.57
2022-11-18,Beetroot,0.57
2022-11-25,Beetroot,0.54
2022-12-02,Beetroot,0.56
2022-12-09,Beetroot,0.65
2022-12-16,Beetroot,0.63
2022-12-23,Beetroot,0.55
2023-01-13,Beetroot,0.62
2023-01-20,Beetroot,0.58
2023-01-27,Beetroot,0.56
2023-02-03,Beetroot,0.59
2023-02-10,Beetroot,0.57
2023-02-17,Beetroot,0.6
2023-02-24,Beetroot,0.6
2023-03-03,Beetroot,0.6
2023-03-10,Beetroot,0.64
2023-03-17,Beetroot,0.65
2023-03-24,Beetroot,0.64
2023-03-31,Beetroot,0.61
2023-04-07,Beetroot,0.64
2023-04-14,Beetroot,0.62
2023-04-21,Beetroot,0.63
2023-04-28,Beetroot,0.62
2023-05-05,Beetroot,0.66
2023-05-12,Beetroot,0.66
2023-05-19,Beetroot,0.68
2023-05-26,Beetroot,0.69
2023-06-02,Beetroot,0.74
2023-06-09,Beetroot,0.81
2023-06-16,Beetroot,0.94
2023-06-30,Beetroot,0.9
2023-07-07,Beetroot,1.07
