model,term,estimate,std_err,t_stat,p_value,conf_lo,conf_hi,significant
Cucumbers — Full xreg,ma1,-0.999999,0.007682,-130.1702,0,-1.015057,-0.984942,TRUE
Cucumbers — Full xreg,api_energy_and_lubricants,0.008488,0.003833,2.2146,0.0268,9.76e-4,0.016,TRUE
Cucumbers — Full xreg,api_fertilisers_and_soil_improvers,-0.002662,0.001178,-2.2592,0.0239,-0.004971,-3.53e-4,TRUE
Cucumbers — Full xreg,api_plant_protection_products,-3.1e-4,0.003817,-0.0813,0.9352,-0.007792,0.007171,FALSE
Cucumbers — Full xreg,api_fresh_fruit,0.001583,0.001771,0.8943,0.3712,-0.001887,0.005053,FALSE
Cucumbers — Full xreg,api_fresh_vegetables,0.004433,0.003935,1.1265,0.26,-0.00328,0.012146,FALSE
Cucumbers — Full xreg,fuel_petrol_price,0.005117,0.006152,0.8317,0.4056,-0.006941,0.017174,FALSE
Cucumbers — Full xreg,fuel_diesel_price,-0.005353,0.004674,-1.1453,0.2521,-0.014514,0.003808,FALSE
Cucumbers — Full xreg,sppi_road_freight,0.003067,0.006902,0.4443,0.6568,-0.010461,0.016595,FALSE
Cucumbers — Full xreg,shock_2021q4_2023q1,5.2e-5,0.132377,4e-4,0.9997,-0.259407,0.259511,FALSE
Cucumbers — Full xreg,post_shock,-0.318251,0.172864,-1.841,0.0656,-0.657064,0.020562,FALSE
Cucumbers — Dummies only,ar1,0.679106,0.053975,12.5818,0,0.573314,0.784897,TRUE
Cucumbers — Dummies only,ar2,-0.176057,0.064357,-2.7356,0.0062,-0.302198,-0.049917,TRUE
Cucumbers — Dummies only,ar3,0.234211,0.06398,3.6607,3e-4,0.108809,0.359612,TRUE
Cucumbers — Dummies only,ar4,-0.103907,0.054632,-1.9019,0.0572,-0.210986,0.003172,FALSE
Cucumbers — Dummies only,ma1,-0.999992,0.015895,-62.9142,0,-1.031145,-0.968839,TRUE
