model,cause,f_stat,p_value,significant
Pak choi — VAR(1),api_fertilisers_and_soil_improvers,0.0563,0.9999,FALSE
Pak choi — VAR(1),api_plant_protection_products,0.0324,1,FALSE
Pak choi — VAR(1),api_fresh_fruit,0.0826,0.9996,FALSE
Pak choi — VAR(1),api_fresh_vegetables,0.0136,1,FALSE
Pak choi — VAR(1),fuel_petrol_price,0.0438,1,FALSE
Pak choi — VAR(1),fuel_diesel_price,0.0705,0.9998,FALSE
Pak choi — VAR(1),sppi_road_freight,0.0587,0.9999,FALSE
Spring greens — VAR(1),api_energy_and_lubricants,0.0468,1,FALSE
Spring greens — VAR(1),api_fertilisers_and_soil_improvers,0.0057,1,FALSE
Spring greens — VAR(1),api_plant_protection_products,0.0388,1,FALSE
Spring greens — VAR(1),api_fresh_fruit,0.0303,1,FALSE
Spring greens — VAR(1),api_fresh_vegetables,0.0367,1,FALSE
Spring greens — VAR(1),fuel_petrol_price,0.0148,1,FALSE
Spring greens — VAR(1),fuel_diesel_price,0.0383,1,FALSE
Spring greens — VAR(1),sppi_road_freight,0.0557,0.9999,FALSE
