predictor,best_lag,best_f_stat,best_p_value,significant,commodity,target_d_order,pred_d_order,granger_causes_target
api_plant_protection_products,3,0.6548,0.5805,FALSE,Tomatoes (Round),0,1,FALSE
api_fresh_vegetables,6,0.7848,0.5825,FALSE,Tomatoes (Round),0,1,FALSE
fuel_diesel_price,8,2.4678,0.0137,TRUE,Tomatoes (Vine),0,1,TRUE
fuel_petrol_price,8,2.2083,0.0275,TRUE,Tomatoes (Vine),0,1,TRUE
api_energy_and_lubricants,1,1.242,0.2661,FALSE,Tomatoes (Vine),0,1,FALSE
sppi_road_freight,1,0.7016,0.403,FALSE,Tomatoes (Vine),0,1,FALSE
api_fresh_vegetables,1,0.6546,0.4192,FALSE,Tomatoes (Vine),0,1,FALSE
api_fresh_fruit,1,0.2517,0.6163,FALSE,Tomatoes (Vine),0,1,FALSE
api_fertilisers_and_soil_improvers,1,0.0918,0.7621,FALSE,Tomatoes (Vine),0,1,FALSE
api_plant_protection_products,2,0.0695,0.9329,FALSE,Tomatoes (Vine),0,1,FALSE
