predictor,lag,f_stat,p_value,significant,commodity,target_d_order,pred_d_order
api_fertilisers_and_soil_improvers,7,0.3319,0.9393,FALSE,Bulb Onions (Yellow),0,1
api_fertilisers_and_soil_improvers,8,0.3067,0.9634,FALSE,Bulb Onions (Yellow),0,1
api_plant_protection_products,1,0.2608,0.6098,FALSE,Bulb Onions (Yellow),0,1
api_plant_protection_products,2,0.1653,0.8477,FALSE,Bulb Onions (Yellow),0,1
api_plant_protection_products,3,0.4478,0.719,FALSE,Bulb Onions (Yellow),0,1
api_plant_protection_products,4,0.4689,0.7586,FALSE,Bulb Onions (Yellow),0,1
api_plant_protection_products,5,0.4764,0.7939,FALSE,Bulb Onions (Yellow),0,1
api_plant_protection_products,6,0.3951,0.8822,FALSE,Bulb Onions (Yellow),0,1
api_plant_protection_products,7,0.435,0.8801,FALSE,Bulb Onions (Yellow),0,1
api_plant_protection_products,8,0.3811,0.9306,FALSE,Bulb Onions (Yellow),0,1
api_fresh_fruit,1,0.8599,0.3543,FALSE,Bulb Onions (Yellow),0,1
api_fresh_fruit,2,0.7528,0.4717,FALSE,Bulb Onions (Yellow),0,1
api_fresh_fruit,3,0.6945,0.5558,FALSE,Bulb Onions (Yellow),0,1
api_fresh_fruit,4,0.503,0.7336,FALSE,Bulb Onions (Yellow),0,1
api_fresh_fruit,5,0.4153,0.8381,FALSE,Bulb Onions (Yellow),0,1
api_fresh_fruit,6,0.3579,0.9052,FALSE,Bulb Onions (Yellow),0,1
api_fresh_fruit,7,0.3066,0.9509,FALSE,Bulb Onions (Yellow),0,1
api_fresh_fruit,8,0.5195,0.8419,FALSE,Bulb Onions (Yellow),0,1
api_fresh_vegetables,1,0.1619,0.6876,FALSE,Bulb Onions (Yellow),0,1
api_fresh_vegetables,2,0.0709,0.9316,FALSE,Bulb Onions (Yellow),0,1
api_fresh_vegetables,3,0.1836,0.9076,FALSE,Bulb Onions (Yellow),0,1
api_fresh_vegetables,4,0.1445,0.9654,FALSE,Bulb Onions (Yellow),0,1
api_fresh_vegetables,5,0.2538,0.9378,FALSE,Bulb Onions (Yellow),0,1
api_fresh_vegetables,6,0.2117,0.9731,FALSE,Bulb Onions (Yellow),0,1
api_fresh_vegetables,7,0.2307,0.9778,FALSE,Bulb Onions (Yellow),0,1
api_fresh_vegetables,8,0.2334,0.9846,FALSE,Bulb Onions (Yellow),0,1
fuel_petrol_price,1,0.3903,0.5325,FALSE,Bulb Onions (Yellow),0,1
fuel_petrol_price,2,0.3021,0.7394,FALSE,Bulb Onions (Yellow),0,1
fuel_petrol_price,3,0.213,0.8874,FALSE,Bulb Onions (Yellow),0,1
fuel_petrol_price,4,0.3023,0.8764,FALSE,Bulb Onions (Yellow),0,1
fuel_petrol_price,5,1.6934,0.1349,FALSE,Bulb Onions (Yellow),0,1
fuel_petrol_price,6,1.4054,0.211,FALSE,Bulb Onions (Yellow),0,1
fuel_petrol_price,7,1.9689,0.058,FALSE,Bulb Onions (Yellow),0,1
fuel_petrol_price,8,1.7693,0.0813,FALSE,Bulb Onions (Yellow),0,1
fuel_diesel_price,1,0.2277,0.6335,FALSE,Bulb Onions (Yellow),0,1
fuel_diesel_price,2,2.6686,0.0705,FALSE,Bulb Onions (Yellow),0,1
fuel_diesel_price,3,1.9844,0.1156,FALSE,Bulb Onions (Yellow),0,1
fuel_diesel_price,4,2.0751,0.0832,FALSE,Bulb Onions (Yellow),0,1
fuel_diesel_price,5,2.6554,0.0223,TRUE,Bulb Onions (Yellow),0,1
fuel_diesel_price,6,2.2616,0.0369,TRUE,Bulb Onions (Yellow),0,1
fuel_diesel_price,7,2.1399,0.0386,TRUE,Bulb Onions (Yellow),0,1
fuel_diesel_price,8,1.9172,0.056,FALSE,Bulb Onions (Yellow),0,1
sppi_road_freight,1,0.0876,0.7674,FALSE,Bulb Onions (Yellow),0,1
sppi_road_freight,2,0.107,0.8986,FALSE,Bulb Onions (Yellow),0,1
sppi_road_freight,3,0.0604,0.9805,FALSE,Bulb Onions (Yellow),0,1
sppi_road_freight,4,0.0621,0.9929,FALSE,Bulb Onions (Yellow),0,1
sppi_road_freight,5,0.0875,0.9942,FALSE,Bulb Onions (Yellow),0,1
sppi_road_freight,6,0.1919,0.979,FALSE,Bulb Onions (Yellow),0,1
sppi_road_freight,7,0.2032,0.9847,FALSE,Bulb Onions (Yellow),0,1
sppi_road_freight,8,0.1792,0.9936,FALSE,Bulb Onions (Yellow),0,1
api_energy_and_lubricants,1,0.7347,0.3918,FALSE,Cabbage,0,1
api_energy_and_lubricants,2,0.9366,0.3927,FALSE,Cabbage,0,1
api_energy_and_lubricants,3,0.6406,0.5892,FALSE,Cabbage,0,1
api_energy_and_lubricants,4,0.5739,0.6817,FALSE,Cabbage,0,1
api_energy_and_lubricants,5,0.4163,0.8374,FALSE,Cabbage,0,1
api_energy_and_lubricants,6,0.465,0.8342,FALSE,Cabbage,0,1
api_energy_and_lubricants,7,0.592,0.7625,FALSE,Cabbage,0,1
api_energy_and_lubricants,8,0.584,0.7912,FALSE,Cabbage,0,1
api_fertilisers_and_soil_improvers,1,1.4989,0.2215,FALSE,Cabbage,0,1
api_fertilisers_and_soil_improvers,2,2.0361,0.1318,FALSE,Cabbage,0,1
api_fertilisers_and_soil_improvers,3,1.3901,0.2452,FALSE,Cabbage,0,1
api_fertilisers_and_soil_improvers,4,0.9336,0.4442,FALSE,Cabbage,0,1
api_fertilisers_and_soil_improvers,5,0.6545,0.6582,FALSE,Cabbage,0,1
api_fertilisers_and_soil_improvers,6,0.5394,0.7782,FALSE,Cabbage,0,1
api_fertilisers_and_soil_improvers,7,0.6209,0.7388,FALSE,Cabbage,0,1
api_fertilisers_and_soil_improvers,8,0.5643,0.8072,FALSE,Cabbage,0,1
api_plant_protection_products,1,0.0095,0.9226,FALSE,Cabbage,0,1
api_plant_protection_products,2,0.0354,0.9652,FALSE,Cabbage,0,1
api_plant_protection_products,3,0.1159,0.9508,FALSE,Cabbage,0,1
api_plant_protection_products,4,0.0829,0.9876,FALSE,Cabbage,0,1
api_plant_protection_products,5,0.0923,0.9934,FALSE,Cabbage,0,1
api_plant_protection_products,6,0.0976,0.9966,FALSE,Cabbage,0,1
api_plant_protection_products,7,0.2487,0.9725,FALSE,Cabbage,0,1
api_plant_protection_products,8,0.2229,0.9867,FALSE,Cabbage,0,1
api_fresh_fruit,1,0.488,0.4852,FALSE,Cabbage,0,1
api_fresh_fruit,2,1.5709,0.209,FALSE,Cabbage,0,1
api_fresh_fruit,3,1.0652,0.3636,FALSE,Cabbage,0,1
api_fresh_fruit,4,0.6683,0.6143,FALSE,Cabbage,0,1
api_fresh_fruit,5,0.4414,0.8196,FALSE,Cabbage,0,1
api_fresh_fruit,6,0.9239,0.4774,FALSE,Cabbage,0,1
api_fresh_fruit,7,0.7715,0.6116,FALSE,Cabbage,0,1
api_fresh_fruit,8,0.6847,0.7051,FALSE,Cabbage,0,1
api_fresh_vegetables,1,0.0213,0.8839,FALSE,Cabbage,0,1
api_fresh_vegetables,2,0.0158,0.9843,FALSE,Cabbage,0,1
api_fresh_vegetables,3,0.6308,0.5954,FALSE,Cabbage,0,1
api_fresh_vegetables,4,0.7845,0.5357,FALSE,Cabbage,0,1
api_fresh_vegetables,5,0.5422,0.7443,FALSE,Cabbage,0,1
api_fresh_vegetables,6,0.4836,0.8206,FALSE,Cabbage,0,1
api_fresh_vegetables,7,0.5658,0.7837,FALSE,Cabbage,0,1
api_fresh_vegetables,8,0.9408,0.4824,FALSE,Cabbage,0,1
fuel_petrol_price,1,0.0981,0.7543,FALSE,Cabbage,0,1
fuel_petrol_price,2,1.4852,0.2276,FALSE,Cabbage,0,1
fuel_petrol_price,3,1.0126,0.3869,FALSE,Cabbage,0,1
fuel_petrol_price,4,0.7342,0.569,FALSE,Cabbage,0,1
fuel_petrol_price,5,0.6538,0.6588,FALSE,Cabbage,0,1
fuel_petrol_price,6,0.6529,0.6878,FALSE,Cabbage,0,1
fuel_petrol_price,7,0.8788,0.5231,FALSE,Cabbage,0,1
fuel_petrol_price,8,0.7992,0.6036,FALSE,Cabbage,0,1
fuel_diesel_price,1,0.1046,0.7465,FALSE,Cabbage,0,1
fuel_diesel_price,2,0.4437,0.642,FALSE,Cabbage,0,1
fuel_diesel_price,3,1.247,0.2922,FALSE,Cabbage,0,1
fuel_diesel_price,4,1.2032,0.3087,FALSE,Cabbage,0,1
fuel_diesel_price,5,1.4126,0.2184,FALSE,Cabbage,0,1
fuel_diesel_price,6,1.3075,0.2523,FALSE,Cabbage,0,1
fuel_diesel_price,7,1.5893,0.1366,FALSE,Cabbage,0,1
fuel_diesel_price,8,1.407,0.1913,FALSE,Cabbage,0,1
sppi_road_freight,1,0.798,0.3722,FALSE,Cabbage,0,1
sppi_road_freight,2,0.7321,0.4815,FALSE,Cabbage,0,1
sppi_road_freight,3,0.5078,0.6771,FALSE,Cabbage,0,1
sppi_road_freight,4,0.3016,0.8768,FALSE,Cabbage,0,1
sppi_road_freight,5,0.2148,0.9562,FALSE,Cabbage,0,1
sppi_road_freight,6,0.2086,0.974,FALSE,Cabbage,0,1
sppi_road_freight,7,0.2426,0.9743,FALSE,Cabbage,0,1
sppi_road_freight,8,0.2882,0.9697,FALSE,Cabbage,0,1
api_energy_and_lubricants,1,1.6297,0.2024,FALSE,Carrots,0,1
api_energy_and_lubricants,2,1.0883,0.3377,FALSE,Carrots,0,1
api_energy_and_lubricants,3,0.792,0.4988,FALSE,Carrots,0,1
api_energy_and_lubricants,4,0.6545,0.6239,FALSE,Carrots,0,1
api_energy_and_lubricants,5,0.6241,0.6815,FALSE,Carrots,0,1
api_energy_and_lubricants,6,0.8724,0.5151,FALSE,Carrots,0,1
api_energy_and_lubricants,7,0.7863,0.5991,FALSE,Carrots,0,1
api_energy_and_lubricants,8,0.7614,0.6371,FALSE,Carrots,0,1
api_fertilisers_and_soil_improvers,1,0.0311,0.8601,FALSE,Carrots,0,1
api_fertilisers_and_soil_improvers,2,0.637,0.5294,FALSE,Carrots,0,1
api_fertilisers_and_soil_improvers,3,0.3921,0.7587,FALSE,Carrots,0,1
api_fertilisers_and_soil_improvers,4,0.4742,0.7547,FALSE,Carrots,0,1
api_fertilisers_and_soil_improvers,5,0.4723,0.7969,FALSE,Carrots,0,1
api_fertilisers_and_soil_improvers,6,0.5262,0.7885,FALSE,Carrots,0,1
api_fertilisers_and_soil_improvers,7,0.4822,0.8475,FALSE,Carrots,0,1
api_fertilisers_and_soil_improvers,8,0.4328,0.9013,FALSE,Carrots,0,1
api_plant_protection_products,1,0.0027,0.9582,FALSE,Carrots,0,1
api_plant_protection_products,2,0.0347,0.9659,FALSE,Carrots,0,1
api_plant_protection_products,3,0.0172,0.9969,FALSE,Carrots,0,1
api_plant_protection_products,4,0.0344,0.9977,FALSE,Carrots,0,1
api_plant_protection_products,5,0.3036,0.9107,FALSE,Carrots,0,1
api_plant_protection_products,6,0.2016,0.9762,FALSE,Carrots,0,1
api_plant_protection_products,7,0.18,0.9893,FALSE,Carrots,0,1
api_plant_protection_products,8,0.1746,0.9942,FALSE,Carrots,0,1
api_fresh_fruit,1,1.6931,0.1939,FALSE,Carrots,0,1
api_fresh_fruit,2,0.913,0.4021,FALSE,Carrots,0,1
api_fresh_fruit,3,0.64,0.5896,FALSE,Carrots,0,1
api_fresh_fruit,4,0.931,0.4458,FALSE,Carrots,0,1
api_fresh_fruit,5,0.7084,0.6174,FALSE,Carrots,0,1
api_fresh_fruit,6,0.4998,0.8085,FALSE,Carrots,0,1
api_fresh_fruit,7,0.5889,0.7651,FALSE,Carrots,0,1
api_fresh_fruit,8,0.6229,0.7587,FALSE,Carrots,0,1
api_fresh_vegetables,1,1.8947,0.1694,FALSE,Carrots,0,1
api_fresh_vegetables,2,0.8765,0.417,FALSE,Carrots,0,1
api_fresh_vegetables,3,0.6223,0.6009,FALSE,Carrots,0,1
api_fresh_vegetables,4,0.7284,0.5729,FALSE,Carrots,0,1
api_fresh_vegetables,5,0.5752,0.719,FALSE,Carrots,0,1
api_fresh_vegetables,6,0.4224,0.8641,FALSE,Carrots,0,1
api_fresh_vegetables,7,0.346,0.9323,FALSE,Carrots,0,1
api_fresh_vegetables,8,0.5951,0.7821,FALSE,Carrots,0,1
fuel_petrol_price,1,0.0394,0.8427,FALSE,Carrots,0,1
fuel_petrol_price,2,0.6247,0.5359,FALSE,Carrots,0,1
fuel_petrol_price,3,0.4416,0.7234,FALSE,Carrots,0,1
fuel_petrol_price,4,0.3404,0.8507,FALSE,Carrots,0,1
fuel_petrol_price,5,0.3151,0.9039,FALSE,Carrots,0,1
fuel_petrol_price,6,0.3001,0.9367,FALSE,Carrots,0,1
fuel_petrol_price,7,0.3199,0.9449,FALSE,Carrots,0,1
fuel_petrol_price,8,0.6107,0.769,FALSE,Carrots,0,1
fuel_diesel_price,1,0.0136,0.9074,FALSE,Carrots,0,1
fuel_diesel_price,2,0.6087,0.5445,FALSE,Carrots,0,1
fuel_diesel_price,3,0.4492,0.718,FALSE,Carrots,0,1
fuel_diesel_price,4,0.6516,0.626,FALSE,Carrots,0,1
fuel_diesel_price,5,0.8897,0.4878,FALSE,Carrots,0,1
fuel_diesel_price,6,0.8291,0.5478,FALSE,Carrots,0,1
fuel_diesel_price,7,0.8067,0.5821,FALSE,Carrots,0,1
fuel_diesel_price,8,0.7911,0.6107,FALSE,Carrots,0,1
sppi_road_freight,1,0.1435,0.705,FALSE,Carrots,0,1
sppi_road_freight,2,0.288,0.7499,FALSE,Carrots,0,1
sppi_road_freight,3,0.2102,0.8894,FALSE,Carrots,0,1
sppi_road_freight,4,0.1302,0.9713,FALSE,Carrots,0,1
sppi_road_freight,5,0.1098,0.9901,FALSE,Carrots,0,1
sppi_road_freight,6,0.3289,0.9217,FALSE,Carrots,0,1
sppi_road_freight,7,0.3978,0.9035,FALSE,Carrots,0,1
sppi_road_freight,8,0.3564,0.9427,FALSE,Carrots,0,1
api_energy_and_lubricants,1,0.0593,0.8077,FALSE,Cooking Apples,0,1
api_energy_and_lubricants,2,0.0757,0.9271,FALSE,Cooking Apples,0,1
api_energy_and_lubricants,3,0.6202,0.6022,FALSE,Cooking Apples,0,1
api_energy_and_lubricants,4,2.0134,0.0917,FALSE,Cooking Apples,0,1
api_energy_and_lubricants,5,2.4704,0.0319,TRUE,Cooking Apples,0,1
api_energy_and_lubricants,6,2.1405,0.0478,TRUE,Cooking Apples,0,1
api_energy_and_lubricants,7,1.9736,0.0573,FALSE,Cooking Apples,0,1
api_energy_and_lubricants,8,1.8911,0.0598,FALSE,Cooking Apples,0,1
api_fertilisers_and_soil_improvers,1,0.0074,0.9313,FALSE,Cooking Apples,0,1
api_fertilisers_and_soil_improvers,2,0.0395,0.9613,FALSE,Cooking Apples,0,1
api_fertilisers_and_soil_improvers,3,0.4751,0.6998,FALSE,Cooking Apples,0,1
api_fertilisers_and_soil_improvers,4,0.3685,0.8311,FALSE,Cooking Apples,0,1
api_fertilisers_and_soil_improvers,5,0.3191,0.9015,FALSE,Cooking Apples,0,1
api_fertilisers_and_soil_improvers,6,0.3617,0.9029,FALSE,Cooking Apples,0,1
api_fertilisers_and_soil_improvers,7,0.3806,0.9137,FALSE,Cooking Apples,0,1
api_fertilisers_and_soil_improvers,8,0.3223,0.9575,FALSE,Cooking Apples,0,1
api_plant_protection_products,1,3e-4,0.986,FALSE,Cooking Apples,0,1
api_plant_protection_products,2,0.0219,0.9784,FALSE,Cooking Apples,0,1
api_plant_protection_products,3,0.0158,0.9973,FALSE,Cooking Apples,0,1
api_plant_protection_products,4,0.0121,0.9997,FALSE,Cooking Apples,0,1
api_plant_protection_products,5,0.9442,0.4521,FALSE,Cooking Apples,0,1
api_plant_protection_products,6,2.9863,0.0072,TRUE,Cooking Apples,0,1
api_plant_protection_products,7,4.6625,0,TRUE,Cooking Apples,0,1
