model,term,estimate,std_err,t_stat,p_value,conf_lo,conf_hi,significant
Pears — Dummies only,post_shock,0.264071,0.093798,2.8153,0.0049,0.080227,0.447915,TRUE
Dessert Apples — Full xreg,ar1,0.632388,0.050666,12.4816,0,0.533083,0.731693,TRUE
Dessert Apples — Full xreg,ar2,0.147843,0.058664,2.5202,0.0117,0.032863,0.262824,TRUE
Dessert Apples — Full xreg,ar3,-0.072507,0.059206,-1.2247,0.2207,-0.18855,0.043537,FALSE
Dessert Apples — Full xreg,ar4,0.100099,0.049676,2.0151,0.0439,0.002735,0.197463,TRUE
Dessert Apples — Full xreg,ma1,-0.999999,0.006658,-150.1848,0,-1.01305,-0.986948,TRUE
Dessert Apples — Full xreg,api_energy_and_lubricants,0.002245,0.002144,1.0472,0.295,-0.001957,0.006447,FALSE
Dessert Apples — Full xreg,api_fertilisers_and_soil_improvers,-0.001011,6.83e-4,-1.4816,0.1384,-0.002349,3.27e-4,FALSE
Dessert Apples — Full xreg,api_plant_protection_products,0.006863,0.002635,2.6044,0.0092,0.001698,0.012028,TRUE
Dessert Apples — Full xreg,api_fresh_fruit,4.8e-4,0.001097,0.4373,0.6619,-0.001671,0.00263,FALSE
Dessert Apples — Full xreg,api_fresh_vegetables,2.88e-4,0.002247,0.1282,0.898,-0.004116,0.004693,FALSE
Dessert Apples — Full xreg,fuel_petrol_price,0.00514,0.004062,1.2654,0.2057,-0.002822,0.013102,FALSE
Dessert Apples — Full xreg,fuel_diesel_price,-0.004388,0.002852,-1.5385,0.1239,-0.009978,0.001202,FALSE
Dessert Apples — Full xreg,sppi_road_freight,-0.001517,0.003573,-0.4247,0.671,-0.00852,0.005485,FALSE
Dessert Apples — Full xreg,shock_2021q4_2023q1,0.063375,0.077153,0.8214,0.4114,-0.087844,0.214595,FALSE
Dessert Apples — Full xreg,post_shock,0.123204,0.09407,1.3097,0.1903,-0.061173,0.307581,FALSE
Dessert Apples — Dummies only,ar1,0.60467,0.051099,11.8334,0,0.504517,0.704824,TRUE
Dessert Apples — Dummies only,ar2,0.138818,0.057659,2.4076,0.0161,0.025807,0.251829,TRUE
Dessert Apples — Dummies only,ar3,-0.042292,0.057627,-0.7339,0.463,-0.15524,0.070656,FALSE
Dessert Apples — Dummies only,ar4,0.112172,0.050104,2.2388,0.0252,0.013968,0.210377,TRUE
Dessert Apples — Dummies only,ma1,-0.977881,0.013584,-71.9891,0,-1.004505,-0.951257,TRUE
Dessert Apples — Dummies only,shock_2021q4_2023q1,0.102562,0.070429,1.4563,0.1453,-0.035479,0.240603,FALSE
Dessert Apples — Dummies only,post_shock,0.204912,0.09616,2.1309,0.0331,0.016438,0.393385,TRUE
Cucumbers — Full xreg,ar1,0.640298,0.0541,11.8355,0,0.534262,0.746334,TRUE
Cucumbers — Full xreg,ar2,-0.205278,0.064028,-3.2061,0.0013,-0.330773,-0.079783,TRUE
Cucumbers — Full xreg,ar3,0.164982,0.054547,3.0246,0.0025,0.058071,0.271893,TRUE
Cucumbers — Full xreg,ma1,-0.999999,0.007608,-131.4339,0,-1.014911,-0.985087,TRUE
Cucumbers — Full xreg,api_energy_and_lubricants,0.008251,0.003963,2.0818,0.0374,4.83e-4,0.016018,TRUE
Cucumbers — Full xreg,api_fertilisers_and_soil_improvers,-0.002662,0.001222,-2.1788,0.0293,-0.005057,-2.67e-4,TRUE
Cucumbers — Full xreg,api_plant_protection_products,-3.59e-4,0.004043,-0.0888,0.9292,-0.008283,0.007565,FALSE
Cucumbers — Full xreg,api_fresh_fruit,0.001348,0.00185,0.729,0.466,-0.002277,0.004974,FALSE
Cucumbers — Full xreg,api_fresh_vegetables,0.005005,0.004084,1.2256,0.2203,-0.002999,0.013009,FALSE
Cucumbers — Full xreg,fuel_petrol_price,0.005709,0.006507,0.8774,0.3802,-0.007044,0.018462,FALSE
Cucumbers — Full xreg,fuel_diesel_price,-0.005601,0.004894,-1.1445,0.2524,-0.015194,0.003991,FALSE
Cucumbers — Full xreg,sppi_road_freight,0.00395,0.00698,0.5659,0.5714,-0.009731,0.017631,FALSE
Cucumbers — Full xreg,shock_2021q4_2023q1,0.007513,0.138181,0.0544,0.9566,-0.263321,0.278347,FALSE
Cucumbers — Full xreg,post_shock,-0.349106,0.177615,-1.9655,0.0494,-0.697231,-9.81e-4,TRUE
Cucumbers — Dummies only,ar1,0.662796,0.053634,12.3577,0,0.557673,0.767919,TRUE
Cucumbers — Dummies only,ar2,-0.161623,0.064141,-2.5198,0.0117,-0.287339,-0.035907,TRUE
Cucumbers — Dummies only,ar3,0.169037,0.054462000000000003,3.1037,0.0019,0.062291,0.275783,TRUE
Cucumbers — Dummies only,ma1,-0.999997,0.016927,-59.076,0,-1.033174,-0.966819,TRUE
Cucumbers — Dummies only,shock_2021q4_2023q1,0.288416,0.084202,3.4253,6e-4,0.123379,0.453452,TRUE
Cucumbers — Dummies only,post_shock,0.18315,0.078558,2.3314,0.0197,0.029177,0.337124,TRUE
Strawberries — Full xreg,ar1,0.574428,0.123692,4.644,0,0.331993,0.816864,TRUE
Strawberries — Full xreg,ma1,-1.127953,0.118799,-9.4946,0,-1.360799,-0.895108,TRUE
Strawberries — Full xreg,ma2,0.241599,0.108383,2.2291,0.0258,0.029167,0.454031,TRUE
Strawberries — Full xreg,ma3,0.064881,0.086249,0.7522,0.4519,-0.104168,0.23393,FALSE
Strawberries — Full xreg,ma4,-0.178526,0.072837,-2.451,0.0142,-0.321287,-0.035765,TRUE
Strawberries — Full xreg,api_energy_and_lubricants,0.058386,0.037533,1.5556,0.1198,-0.015178,0.131951,FALSE
Strawberries — Full xreg,api_fertilisers_and_soil_improvers,-0.011577,0.010716,-1.0803,0.28,-0.03258,0.009427,FALSE
Strawberries — Full xreg,api_plant_protection_products,-0.002765,0.035367,-0.0782,0.9377,-0.072084,0.066555,FALSE
Strawberries — Full xreg,api_fresh_fruit,0.03252,0.015761,2.0633,0.0391,0.001627,0.063412,TRUE
Strawberries — Full xreg,api_fresh_vegetables,0.020045,0.032156,0.6234,0.5331,-0.042981,0.083071,FALSE
Strawberries — Full xreg,fuel_petrol_price,0.046512,0.052113,0.8925,0.3721,-0.055629,0.148654,FALSE
Strawberries — Full xreg,fuel_diesel_price,-0.041752,0.038836,-1.0751,0.2823,-0.117872,0.034367,FALSE
Strawberries — Full xreg,sppi_road_freight,-0.087644,0.058446,-1.4996,0.1337,-0.202198,0.02691,FALSE
Strawberries — Full xreg,shock_2021q4_2023q1,-1.15659,1.081373,-1.0696,0.2848,-3.276081,0.962901,FALSE
Strawberries — Full xreg,post_shock,-1.052363,1.358977,-0.7744,0.4387,-3.715958,1.611232,FALSE
